material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,n_model,n_err
kdemo,650.0,1.488,3.2e-09,3.0932604589191806e-08,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.02940046787261963,1.4938005208969116,0.005800485610961914
gaas,450.0,4.42,1.9,2.0,2.8533332347869873,2.931666612625122,1.6333333253860474,-0.003094911575317383,4.450322151184082,0.03032207489013672
gaas,500.0,4.18,1.45,2.0,2.8533332347869873,2.931666612625122,1.5999999046325684,-0.003094911575317383,4.275040626525879,0.09504079818725586
gaas,550.0,3.95,1.08,2.0,2.8533332347869873,2.931666612625122,1.5333333015441895,-0.003094911575317383,4.056239128112793,0.10623908042907715
gaas,600.0,3.78,0.74,2.0,2.8533332347869873,2.931666612625122,1.5333333015441895,-0.003094911575317383,3.8998873233795166,0.1198873519897461
gaas,650.0,3.66,0.47,2.0,2.8533332347869873,2.931666612625122,1.5333333015441895,-0.003094911575317383,3.7216484546661377,0.06164836883544922
gaas,700.0,3.58,0.28,2.0,3.184999942779541,3.179999828338623,1.5333333015441895,-0.003094911575317383,3.612643241882324,0.03264331817626953
gaas,800.0,3.5,0.12,0.9424777960769378,3.5166666507720947,3.428333282470703,1.4666666984558105,-0.003094911575317383,3.349095344543457,-0.15090465545654297
gaas,900.0,3.45,0.06,0.418879020478639,3.8483331203460693,3.428333282470703,1.399999976158142,-0.003094911575317383,3.155123472213745,-0.2948765754699707
air,450.0,1.00028,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,1.0008647441864014,0.000584721565246582
air,550.0,1.00027,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,0.9990906119346619,-0.0011793971061706543
air,650.0,1.00027,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,1.0008647441864014,0.0005947351455688477
water,450.0,1.34,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3355913162231445,-0.004408717155456543
water,550.0,1.334,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3338172435760498,-0.00018274784088134766
water,650.0,1.331,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3355913162231445,0.00459134578704834
metalx,420.0,1.45,0.12,1.7951958020513101,0.20000000298023224,2.931666612625122,1.0266666412353516,-0.2840437591075897,1.386481761932373,-0.06351828575134277
metalx,500.0,1.62,0.55,2.8,0.20000000298023224,2.931666612625122,1.0266666412353516,-0.2840437591075897,1.757371187210083,0.13737118244171143
metalx,580.0,1.88,1.05,2.8,0.20000000298023224,2.931666612625122,1.0266666412353516,-0.2840437591075897,1.933884620666504,0.05388462543487549
metalx,660.0,2.12,1.55,2.8,0.20000000298023224,2.931666612625122,1.0733333826065063,-0.2840437591075897,2.1126792430877686,-0.0073206424713134766
metalx,740.0,2.35,2.05,2.8,0.20000000298023224,2.931666612625122,1.1666666269302368,-0.2840437591075897,2.339839458465576,-0.010160446166992188
metalx,820.0,2.52,2.45,2.8,0.20000000298023224,2.931666612625122,1.2133333683013916,-0.2840437591075897,2.4769370555877686,-0.04306292533874512
metalx,920.0,2.68,2.85,2.8,0.20000000298023224,2.931666612625122,1.2599999904632568,-0.2840437591075897,2.6128063201904297,-0.06719374656677246
ultralowk,400.0,1.02,1e-10,1.5707963267948966e-09,0.20000000298023224,2.434999942779541,0.03333333507180214,-0.04734808951616287,1.0108394622802734,-0.009160518646240234
ultralowk,460.0,1.015,8e-11,1.0927278795094931e-09,0.20000000298023224,2.434999942779541,0.03333333507180214,-0.04734808951616287,1.0080779790878296,-0.006922006607055664
ultralowk,520.0,1.012,6e-11,7.24982920059183e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04734808951616287,1.0059559345245361,-0.00604403018951416
ultralowk,600.0,1.01,4e-11,4.18879020478639e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04734808951616287,1.0050876140594482,-0.004912376403808594
ultralowk,700.0,1.008,3e-11,2.692793703076965e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04734808951616287,1.0064388513565063,-0.0015611648559570312
ultralowk,850.0,1.006,2.2e-11,1.6262361971523635e-10,0.20000000298023224,2.434999942779541,0.0,-0.04734808951616287,1.0132055282592773,0.007205486297607422
ultralowk,1000.0,1.005,1.8e-11,1.1309733552923252e-10,0.20000000298023224,2.434999942779541,0.0,-0.04734808951616287,1.026394248008728,0.02139425277709961
highnlowk,430.0,3.9,0.0009,0.013150852968515411,7.828332901000977,6.408332824707031,0.20000000298023224,0.00615327712148428,3.659207344055176,-0.24079275131225586
highnlowk,500.0,3.75,0.0007,0.00879645943005142,7.496665954589844,6.408332824707031,0.15000000596046448,0.00615327712148428,3.603558301925659,-0.14644169807434082
highnlowk,580.0,3.6,0.0005,0.005416539057913436,7.164999485015869,6.159999370574951,0.10000000149011612,0.00615327712148428,3.5286295413970947,-0.07137036323547363
highnlowk,660.0,3.48,0.00038,0.003617591540497337,7.164999485015869,5.911666393280029,0.10000000149011612,0.00615327712148428,3.5040366649627686,0.024036645889282227
highnlowk,760.0,3.38,0.00027,0.0022321842538664317,6.8333330154418945,5.663332939147949,0.05000000074505806,0.00615327712148428,3.4385082721710205,0.05850815773010254
highnlowk,880.0,3.3,0.00019,0.0013565968276865014,6.8333330154418945,5.663332939147949,0.05000000074505806,0.00615327712148428,3.447789192199707,0.14778923988342285
highnlowk,1020.0,3.24,0.00013,0.0008007981273856334,6.8333330154418945,5.663332939147949,0.05000000074505806,0.00615327712148428,3.468271255493164,0.2282712459564209
midkcurve,410.0,2.4,0.42,2.0,0.20000000298023224,2.683333158493042,1.3333332538604736,-0.08316857367753983,2.46175217628479,0.0617520809173584
midkcurve,470.0,2.33,0.36,2.0,0.20000000298023224,2.683333158493042,1.3333332538604736,-0.08316857367753983,2.4081976413726807,0.07819771766662598
midkcurve,530.0,2.29,0.31,2.0,0.20000000298023224,2.683333158493042,1.3333332538604736,-0.08316857367753983,2.3579471111297607,0.0679471492767334
midkcurve,610.0,2.26,0.24,2.0,0.20000000298023224,2.683333158493042,1.3333332538604736,-0.08316857367753983,2.275908946990967,0.01590895652770996
midkcurve,690.0,2.3,0.19,1.7301524758900306,0.53166663646698,2.683333158493042,1.2666666507720947,-0.08316857367753983,2.329958915710449,0.02995896339416504
midkcurve,790.0,2.38,0.14,1.1134758772216988,0.8633332848548889,2.683333158493042,1.1666666269302368,-0.08316857367753983,2.3058109283447266,-0.0741891860961914
midkcurve,920.0,2.5,0.1,0.6829549246934332,1.1949999332427979,2.683333158493042,1.1333332061767578,-0.08316857367753983,2.320424795150757,-0.17957520484924316
